match_key,league,season_id,round_number,expected_start,home_team,away_team,home_score,away_score,odds_1,odds_X,odds_2,odds_dc_1x,odds_dc_x2,odds_dc_12,odds_over_2_5,odds_under_2_5,odds_btts_yes,odds_btts_no,over_2_5,btts,home_win,draw,away_win,first_goal_team,last_goal_minute,goal_timeline,had_odds
9c9d9ef225c2dd30,english-league,164884,1,2026-09-09T06:57:29Z,London Reds,A. Villa,4,1,1.35,5.23,7.75,1.05,3.07,1.13,1.42,2.82,1.75,2.05,Oui,Oui,Oui,Non,Non,Home,87,"[29, 31, 39, 57, 87]",True
2ac760b60de1b593,english-league,164884,1,2026-09-09T06:57:29Z,London Blues,Wolverhampton,1,1,1.4,4.9,7.07,1.07,2.84,1.15,1.46,2.65,1.74,2.06,Non,Oui,Non,Oui,Non,Home,33,"[21, 33]",True
a2d1481da7779a84,english-league,164884,1,2026-09-09T06:57:29Z,Burnley,Manchester Red,0,3,3.09,3.34,2.29,1.57,1.33,1.29,1.87,1.9,1.7,2.11,Oui,Non,Non,Non,Oui,Away,47,"[10, 32, 47]",True
0878b994ab1f3016,english-league,164884,1,2026-09-09T06:57:29Z,Leeds,Fulham,0,2,5.59,4.22,1.55,2.36,1.11,1.19,1.59,2.32,1.72,2.09,Non,Non,Non,Non,Oui,Away,39,"[28, 39]",True
6790a24b03fe636b,english-league,164884,1,2026-09-09T06:57:29Z,C. Palace,Everton,2,3,1.8,3.45,4.64,1.16,1.94,1.27,1.99,1.8,1.9,1.87,Oui,Oui,Non,Non,Oui,Away,85,"[20, 21, 61, 64, 85]",True
9bb333531dd88a96,english-league,164884,1,2026-09-09T06:57:29Z,Spurs,Brighton,2,1,1.96,4.46,3.08,1.33,1.79,1.17,1.24,3.91,1.31,3.36,Oui,Oui,Oui,Non,Non,Home,58,"[27, 28, 58]",True
b3ea749ea8d7b2e7,english-league,164884,1,2026-09-09T06:57:29Z,Manchester Blue,Newcastle,2,1,1.41,5.24,6.2,1.09,2.79,1.13,1.31,3.39,1.55,2.42,Oui,Oui,Oui,Non,Non,Home,73,"[19, 34, 73]",True
6296a91c5f9e6a69,english-league,164884,1,2026-09-09T06:57:29Z,Brentford,Bournemouth,1,3,1.7,4.6,3.95,1.22,2.09,1.16,1.28,3.62,1.38,2.99,Oui,Oui,Non,Non,Oui,Away,79,"[5, 73, 75, 79]",True
51b327e313c4977e,english-league,164884,1,2026-09-09T06:57:29Z,Liverpool,Sunderland,4,1,1.19,7.09,13.15,1.0,4.52,1.07,1.32,3.3,2.02,1.77,Oui,Oui,Oui,Non,Non,Home,85,"[40, 43, 48, 63, 85]",True
515284ec055619d1,english-league,164884,1,2026-09-09T06:57:29Z,West Ham,N. Forest,1,0,1.81,3.94,3.93,1.22,1.93,1.22,1.53,2.45,1.55,2.41,Non,Non,Oui,Non,Non,Home,42,[42],True
cdff387520900012,english-league,164884,3,2026-09-09T07:01:29Z,Brentford,Wolverhampton,1,1,1.54,4.73,4.97,1.14,2.38,1.16,1.33,3.22,1.48,2.59,Non,Oui,Non,Oui,Non,Away,75,"[73, 75]",True
2df1b9dbfb022bfe,english-league,164884,3,2026-09-09T07:01:29Z,West Ham,Liverpool,2,0,3.37,4.01,1.95,1.8,1.29,1.21,1.43,2.76,1.45,2.7,Non,Non,Oui,Non,Non,Home,85,"[42, 85]",True
761018aaffe2e24e,english-league,164884,3,2026-09-09T07:01:29Z,Leeds,Newcastle,1,2,7.23,5.06,1.38,2.92,1.06,1.14,1.43,2.78,1.72,2.09,Oui,Oui,Non,Non,Oui,Away,79,"[27, 56, 79]",True
8a0d6a8f1e934917,english-league,164884,3,2026-09-09T07:01:29Z,London Reds,Burnley,1,1,1.17,7.75,12.61,1.0,4.71,1.05,1.24,3.98,1.89,1.88,Non,Oui,Non,Oui,Non,Home,64,"[36, 64]",True
41708f84c88d0d51,english-league,164884,3,2026-09-09T07:01:29Z,C. Palace,A. Villa,2,2,2.1,3.5,3.36,1.29,1.68,1.27,1.75,2.05,1.65,2.21,Oui,Oui,Non,Oui,Non,Away,85,"[35, 40, 62, 85]",True
60a5052d840739a3,english-league,164884,3,2026-09-09T07:01:29Z,Spurs,Manchester Red,3,2,1.75,4.26,3.94,1.22,2.01,1.19,1.39,2.94,1.46,2.68,Oui,Oui,Oui,Non,Non,Home,85,"[10, 33, 55, 74, 85]",True
b6cd950ef32e26cf,english-league,164884,3,2026-09-09T07:01:29Z,Bournemouth,Everton,1,1,2.05,3.06,4.08,1.2,1.72,1.34,2.37,1.57,2.07,1.73,Non,Oui,Non,Oui,Non,Away,81,"[58, 81]",True
79ff49683952b7b0,english-league,164884,3,2026-09-09T07:01:29Z,Fulham,Brighton,1,0,2.3,4.03,2.65,1.44,1.57,1.21,1.37,3.03,1.38,2.98,Non,Non,Oui,Non,Non,Home,47,[47],True
a121f0961ef20675,english-league,164884,3,2026-09-09T07:01:29Z,London Blues,Sunderland,2,0,1.38,5.05,7.32,1.06,2.93,1.14,1.44,2.74,1.74,2.07,Non,Non,Oui,Non,Non,Home,77,"[60, 77]",True
b35a4ac7d6e77325,english-league,164884,3,2026-09-09T07:01:29Z,Manchester Blue,N. Forest,4,1,1.17,7.58,13.02,1.0,4.7,1.06,1.26,3.73,1.94,1.83,Oui,Oui,Oui,Non,Non,Home,83,"[24, 29, 46, 82, 83]",True
91691bbbd3dd92b5,english-league,164884,5,2026-09-09T07:05:29Z,Leeds,Brighton,2,1,6.37,5.0,1.42,2.75,1.09,1.14,1.38,2.98,1.62,2.25,Oui,Oui,Oui,Non,Non,Away,72,"[54, 68, 72]",True
