match_key,league,season_id,round_number,expected_start,home_team,away_team,home_score,away_score,odds_1,odds_X,odds_2,odds_dc_1x,odds_dc_x2,odds_dc_12,odds_over_2_5,odds_under_2_5,odds_btts_yes,odds_btts_no,over_2_5,btts,home_win,draw,away_win,first_goal_team,last_goal_minute,goal_timeline,had_odds
f800e47f3cc09e89,portuguese-league,164829,1,2026-09-08T21:59:30Z,Moreirense,Nacional,1,0,1.8,2.77,7.04,1.07,1.95,1.4,3.59,1.28,3.2,1.34,Non,Non,Oui,Non,Non,Home,23,[23],True
96796fe0dfefe37b,portuguese-league,164829,1,2026-09-08T21:59:30Z,Santa Clara,Guimaraes,2,0,2.94,2.83,2.73,1.41,1.36,1.39,2.63,1.47,2.12,1.7,Non,Non,Oui,Non,Non,Home,85,"[24, 85]",True
4d8b72507878bc44,portuguese-league,164829,1,2026-09-08T21:59:30Z,Lisboa Green,Porto,2,1,1.68,3.64,5.23,1.13,2.11,1.25,1.91,1.86,1.91,1.86,Oui,Oui,Oui,Non,Non,Away,67,"[19, 39, 67]",True
7328f46f30986dbc,portuguese-league,164829,1,2026-09-08T21:59:30Z,Rio Ave,Braga,3,1,3.38,3.47,2.1,1.68,1.28,1.27,1.78,2.01,1.67,2.17,Oui,Oui,Oui,Non,Non,Away,70,"[28, 43, 68, 70]",True
c8ea4d739b0e6f80,portuguese-league,164829,1,2026-09-08T21:59:30Z,Tondela,Estoril,2,1,2.37,3.29,2.99,1.35,1.54,1.3,1.91,1.86,1.73,2.08,Oui,Oui,Oui,Non,Non,Away,84,"[58, 65, 84]",True
ae2f4e79fc17b29c,portuguese-league,164829,1,2026-09-08T21:59:30Z,Arouca,Lisboa Red,0,2,4.96,3.52,1.74,2.02,1.14,1.27,1.98,1.8,1.93,1.85,Non,Non,Non,Non,Oui,Away,82,"[64, 82]",True
b05b37f9c0416927,portuguese-league,164829,1,2026-09-08T21:59:30Z,AFS,Famalicão,0,2,4.01,2.96,2.11,1.67,1.21,1.36,2.52,1.51,2.14,1.69,Non,Non,Non,Non,Oui,Away,68,"[4, 68]",True
64f4a5e1fbeb2f6a,portuguese-league,164829,1,2026-09-08T21:59:30Z,Gil Vicente,Alverca,3,3,1.74,3.49,5.05,1.14,2.03,1.27,2.02,1.77,1.96,1.82,Oui,Oui,Non,Oui,Non,Home,86,"[17, 28, 34, 49, 81, 86]",True
2cc2fdc72d4ab743,portuguese-league,164829,1,2026-09-08T21:59:30Z,Casa Pia,Estrela,1,1,1.84,2.59,7.68,1.06,1.9,1.46,4.33,1.21,3.75,1.26,Non,Oui,Non,Oui,Non,Home,72,"[59, 72]",True
0473e942d76321a7,portuguese-league,164829,2,2026-09-08T22:01:30Z,AFS,Casa Pia,0,2,3.64,2.99,2.22,1.61,1.25,1.35,2.41,1.55,2.05,1.75,Non,Non,Non,Non,Oui,Away,43,"[13, 43]",True
